,problem_state,thoughts,acc
0,[ 3  8 10 10],"[['/', 8, 10], ['*', 0.8, 10], ['*', 3, 8]]",True
1,[ 2  4  7 11],"[['+', 2, 7], ['+', 4, 9], ['+', 11, 13]]",True
2,[ 2  8  8 10],"[['-', 2, 8], ['-', 10, -6], ['+', 8, 16]]",True
3,[4 6 7 7],"[['+', 4, 7], ['+', 6, 7], ['+', 11, 13]]",True
4,[ 3  3  6 10],"[['+', 3, 3], ['-', 10, 6], ['*', 4, 6]]",True
5,[1 4 6 7],"[['-', 1, 4], ['+', -3, 7], ['*', 4, 6]]",True
6,[3 4 5 6],"[['-', 4, 5], ['-', 3, -1], ['*', 4, 6]]",True
7,[ 4  5  7 10],"[['-', 7, 5], ['*', 2, 10], ['+', 4, 20]]",True
8,[ 5 10 10 12],"[['/', 10, 5], ['+', 2, 10], ['+', 12, 12]]",True
9,[ 6  6  9 12],"[['/', 9, 6], ['*', 1.5, 12], ['+', 6, 18]]",True
10,[3 5 8 8],"[['+', 3, 8], ['+', 5, 8], ['+', 11, 13]]",True
11,[ 7  7 11 12],"[['/', 7, 7], ['+', 11, 12], ['+', 1, 23]]",True
12,[ 2  6  7 10],"[['-', 10, 7], ['+', 2, 6], ['*', 3, 8]]",True
13,[4 4 5 7],"[['+', 4, 7], ['-', 11, 5], ['*', 4, 6]]",True
14,[ 4  5  6 13],"[['-', 13, 5], ['-', 8, 4], ['*', 4, 6]]",True
15,[2 4 5 7],"[['/', 2, 4], ['+', 5, 7], ['/', 12, 0.5]]",True
16,[ 2  4  8 11],"[['/', 4, 11], ['/', 8, 0.36363636363636365], ['+', 2, 22]]",True
17,[ 3  3  7 12],"[['-', 7, 3], ['*', 3, 4], ['+', 12, 12]]",True
18,[ 2  5  5 12],"[['+', 2, 5], ['+', 5, 7], ['+', 12, 12]]",True
19,[1 3 3 7],"[['*', 3, 7], ['/', 3, 1], ['+', 3, 21]]",True
20,[2 4 9 9],"[['+', 2, 9], ['+', 4, 11], ['+', 9, 15]]",True
21,[4 5 6 7],"[['-', 6, 5], ['-', 7, 1], ['*', 4, 6]]",True
22,[ 4  9 12 12],"[['/', 12, 4], ['+', 3, 9], ['+', 12, 12]]",True
23,[1 1 6 9],"[['+', 1, 1], ['*', 2, 9], ['+', 6, 18]]",True
24,[ 2  3  8 10],"[['*', 2, 3], ['+', 6, 8], ['+', 10, 14]]",True
25,[ 9  9 12 12],"[['-', 9, 12], ['-', 12, -3], ['+', 9, 15]]",True
26,[ 2  2  6 10],"[['*', 2, 6], ['+', 2, 10], ['+', 12, 12]]",True
27,[ 3  6 11 12],"[['-', 12, 11], ['+', 1, 3], ['*', 4, 6]]",True
